10000;20000;30000;40000;50000;60000;70000;80000;90000;100000;;;;;;10000;20000;30000;40000;50000;60000;70000;80000;90000;100000
341700;8700;15600;3400;6500;11700;11200;5400;5200;3700;;;;;;12296;8393;10360;9576;10760;10478;11042;11437;10819;12379
8500;8700;5500;5700;8900;26400;20300;13000;7300;16800;;;;;;;;;;;;;;;
3700;4800;11800;11800;6200;2500;3000;3100;20100;15800;;;;;;;;;;;;;;;
8600;15800;13700;9300;15100;3800;10700;12800;3900;4300;;;;;;;;;;;;;;;
5400;3800;12400;14800;13700;7400;10800;13800;15400;10100;;;;;;;;;;;;;;;
7500;7300;7900;15200;11500;6400;11500;19600;12700;15300;;;;;;;;;;;;;;;
9500;13100;9700;3100;6300;21300;15600;18200;13500;22100;;;;;;;;;;;;;;;
6700;15800;12800;9600;5900;10300;6900;10300;15700;5600;;;;;;;;;;;;;;;
7700;4400;15900;14300;4000;18500;13600;24200;4000;13400;;;;;;;;;;;;;;;
4700;4800;5900;24200;12100;14600;4900;17500;19000;17300;;;;;;;;;;;;;;;
8800;11600;7200;20300;4300;3900;12900;13800;10600;10700;;;;;;;;;;;;;;;
4500;2300;17400;3700;11500;16400;3400;4300;7400;17600;;;;;;;;;;;;;;;
4000;14300;8400;7900;18900;18100;14500;18800;4400;14600;;;;;;;;;;;;;;;
14900;10000;19500;22400;22800;7800;10200;5500;5000;18400;;;;;;;;;;;;;;;
3600;4000;8200;8500;4300;13800;5500;6400;32100;8400;;;;;;;;;;;;;;;
11400;10300;16900;13900;11400;20500;17000;4900;15000;17200;;;;;;;;;;;;;;;
17600;8800;3500;11600;11700;10200;13500;15600;22000;9400;;;;;;;;;;;;;;;
5900;4700;3500;3600;14600;4900;16400;13000;5300;9200;;;;;;;;;;;;;;;
5000;11100;15400;16600;16000;5700;3800;15300;10500;17500;;;;;;;;;;;;;;;
12700;5800;7400;11100;11900;17100;4200;5300;20500;14000;;;;;;;;;;;;;;;
2900;3400;6400;6000;12500;9300;9000;9600;8300;4600;;;;;;;;;;;;;;;
13700;11300;19800;4000;6100;5700;11200;9000;4300;11900;;;;;;;;;;;;;;;
9200;10600;13100;10700;4800;7100;10700;14100;21000;12400;;;;;;;;;;;;;;;
9800;10100;11300;3300;13600;18800;13300;27000;10000;18200;;;;;;;;;;;;;;;
3400;3000;11700;6100;12700;10800;10200;15200;3500;15100;;;;;;;;;;;;;;;
3700;5300;7500;16500;5900;3500;9300;15300;10900;9900;;;;;;;;;;;;;;;
5600;7000;28300;10000;6000;15800;3900;4900;9000;12000;;;;;;;;;;;;;;;
8200;12500;6700;11800;12400;5400;9200;3100;2700;14300;;;;;;;;;;;;;;;
10000;2400;7300;18100;5800;5500;9100;8100;15700;5700;;;;;;;;;;;;;;;
7900;3100;11300;11800;8000;2400;6100;3100;4400;9400;;;;;;;;;;;;;;;
10300;3600;17100;16200;20800;6100;16200;12800;13300;15700;;;;;;;;;;;;;;;
9600;8700;2800;4500;3400;13700;11200;2900;11900;9100;;;;;;;;;;;;;;;
9300;2200;12000;14900;12100;14200;14200;14800;16800;51000;;;;;;;;;;;;;;;
2100;14300;3200;4300;6900;16000;9100;15600;10400;20000;;;;;;;;;;;;;;;
13400;11500;14900;3000;8800;7700;10000;5200;2500;7500;;;;;;;;;;;;;;;
13500;3000;8800;8300;5600;11900;12300;9900;17800;10600;;;;;;;;;;;;;;;
7800;7500;25400;3000;3800;14700;19300;15900;15900;19800;;;;;;;;;;;;;;;
12900;14000;9100;5100;4700;3400;15600;15300;3900;8700;;;;;;;;;;;;;;;
10100;5700;12400;17600;15200;16300;23000;2500;10300;10300;;;;;;;;;;;;;;;
9600;6000;12000;16500;11100;9100;18900;2800;17800;12000;;;;;;;;;;;;;;;
8500;9100;11400;2500;8200;5700;12100;7800;2400;16600;;;;;;;;;;;;;;;
8600;10600;11900;8500;10300;2900;8000;17300;12500;3900;;;;;;;;;;;;;;;
10500;6700;10300;5800;3900;2400;10200;7100;15100;17500;;;;;;;;;;;;;;;
13100;6700;6000;11300;16600;10000;14200;2900;3500;5100;;;;;;;;;;;;;;;
11000;7300;3100;8700;6200;12900;5100;18400;9800;6300;;;;;;;;;;;;;;;
10400;10500;9900;6500;15000;15600;15600;9700;11800;13100;;;;;;;;;;;;;;;
9900;10600;14800;3800;13300;12400;10700;16200;8400;9200;;;;;;;;;;;;;;;
3300;13500;15800;6800;2700;11100;21800;15200;15300;3900;;;;;;;;;;;;;;;
9700;12900;10000;8400;16300;14500;11700;14900;7700;8100;;;;;;;;;;;;;;;
6300;6700;17300;7500;10900;4500;4700;46300;11000;15600;;;;;;;;;;;;;;;
16200;16600;9400;2500;14300;18100;2500;14300;4300;17300;;;;;;;;;;;;;;;
8800;13400;5500;14500;16300;12000;4500;8200;10500;13800;;;;;;;;;;;;;;;
12200;10000;3300;3000;9200;11000;3500;6800;4800;19400;;;;;;;;;;;;;;;
12200;6500;13200;4600;7700;15600;2900;8100;9700;10800;;;;;;;;;;;;;;;
4700;12700;13300;4200;9100;4400;15800;7600;21200;17900;;;;;;;;;;;;;;;
6300;11600;12400;10900;15800;16100;8700;21200;16000;12800;;;;;;;;;;;;;;;
19600;10100;27900;3900;13200;10500;11300;17400;11700;5300;;;;;;;;;;;;;;;
6000;5300;13200;9100;25500;21400;16600;3800;8700;7400;;;;;;;;;;;;;;;
3800;9700;3500;8800;8300;13900;10700;22800;4200;14800;;;;;;;;;;;;;;;
7400;5700;11800;19500;2400;21500;6400;7900;3400;17400;;;;;;;;;;;;;;;
19000;6100;4500;3500;7100;12500;5700;8700;3000;20300;;;;;;;;;;;;;;;
3400;7100;2100;16900;14700;6800;18200;2700;19600;15800;;;;;;;;;;;;;;;
20000;8500;12600;3600;18300;15300;8900;11100;7500;15200;;;;;;;;;;;;;;;
13100;9300;9600;15300;18000;25300;7200;7300;12800;4100;;;;;;;;;;;;;;;
2500;14500;4400;9200;6100;7100;4400;11000;13500;3000;;;;;;;;;;;;;;;
7900;8000;4700;4400;18700;14400;8000;5600;12600;16900;;;;;;;;;;;;;;;
7000;22900;18900;13700;10300;5800;12500;17400;9000;16100;;;;;;;;;;;;;;;
14400;12500;23500;12100;13800;2900;19800;18000;10800;21300;;;;;;;;;;;;;;;
4500;4200;12400;14200;12800;3000;13400;15100;12100;15000;;;;;;;;;;;;;;;
19600;13200;21100;7500;4000;7900;5300;8000;14300;13200;;;;;;;;;;;;;;;
24700;6200;8700;24000;9600;5900;4300;15400;31000;34900;;;;;;;;;;;;;;;
9900;8900;4500;3500;16600;4200;20900;5900;5600;12700;;;;;;;;;;;;;;;
2300;14200;3600;4900;6400;6600;4300;20500;16200;6500;;;;;;;;;;;;;;;
10000;19300;11100;5900;9600;13600;19200;3500;17500;13200;;;;;;;;;;;;;;;
10000;4200;4700;7800;6800;6100;9400;11300;3000;8900;;;;;;;;;;;;;;;
11800;5000;15900;12300;10700;10000;17500;13900;17500;3300;;;;;;;;;;;;;;;
5100;3900;12700;14500;14300;5400;4900;10100;11300;7500;;;;;;;;;;;;;;;
12200;3500;6000;6000;3100;17500;5300;3000;4900;19200;;;;;;;;;;;;;;;
6400;6200;8900;14100;14500;10100;16100;12700;6900;10500;;;;;;;;;;;;;;;
7900;4400;3500;2500;14600;14800;16500;9800;17200;11400;;;;;;;;;;;;;;;
10300;7600;15700;15900;13000;6400;7100;11700;9000;16200;;;;;;;;;;;;;;;
8000;11300;10600;10100;5600;14200;14200;13500;9200;6500;;;;;;;;;;;;;;;
6000;3900;4800;11100;6500;11100;11000;15500;12800;3400;;;;;;;;;;;;;;;
10500;5700;5800;5800;17500;13900;6900;8300;7200;7200;;;;;;;;;;;;;;;
5500;5500;15900;3400;6900;11700;19300;13400;13600;4700;;;;;;;;;;;;;;;
10000;8000;12200;4800;13000;14300;14900;7100;6900;5700;;;;;;;;;;;;;;;
9300;8100;8600;10800;11300;3000;4000;8200;6300;14300;;;;;;;;;;;;;;;
4700;16100;8700;7200;17800;8800;8700;10100;12500;14500;;;;;;;;;;;;;;;
8600;6400;7600;7600;11900;7900;11800;13600;15200;3300;;;;;;;;;;;;;;;
11100;3700;3900;13000;12700;10400;11800;16700;7500;7500;;;;;;;;;;;;;;;
6400;9000;3300;12700;11500;2500;14800;9400;5900;7900;;;;;;;;;;;;;;;
6700;3400;10400;12500;7400;3700;11800;9100;4600;7800;;;;;;;;;;;;;;;
8700;3300;10200;13200;7300;16300;17400;8500;3100;20800;;;;;;;;;;;;;;;
9200;8700;5400;8900;11700;12300;14400;20300;11200;11900;;;;;;;;;;;;;;;
4600;13100;8200;6800;14700;7200;10900;3600;6300;4000;;;;;;;;;;;;;;;
11100;7700;4400;6900;8300;4500;4700;16800;3500;9200;;;;;;;;;;;;;;;
12000;11200;3100;7900;11800;5000;10000;7900;8300;19600;;;;;;;;;;;;;;;
12200;2800;2900;11000;10000;6600;17800;6000;2900;14600;;;;;;;;;;;;;;;
2600;7800;7200;14700;15000;6300;4900;7000;26800;9100;;;;;;;;;;;;;;;
6500;2400;10000;3900;9100;11300;17300;4200;10800;4900;;;;;;;;;;;;;;;
